SMILES_1,SMILES_2,Temperatures (K)
CC,S,"[227.936, 255.3206, 255.3262, 255.3711, 283.0925]"
CCC,c1ccccc1,"[310.8809, 344.2739]"
CCC,N,"[273.15, 293.15]"
CCCC,CC(C)=O,"[273.15, 273.2]"
CCCCC,CCCCCC,"[298.7, 303.7, 308.7]"
CCCCC,c1ccccc1,"[289.1404, 308.1416, 309.5314, 309.5814, 310.1812, 310.4811, 310.731, 311.2308, 311.4807, 311.8805, 312.4303, 312.4803, 313.1401, 313.18, 313.7298, 314.4296, 315.0294, 315.4293, 315.7792, 317.0788, 317.1288, 318.1785, 318.2285, 319.3781, 320.6777, 321.7774, 322.977, 323.1371, 324.6266, 326.2761, 328.2255, 330.0249, 330.5248, 333.774, 335.474, 337.974, 338.074, 340.474, 342.274, 344.4239, 347.2236, 349.2734, 350.1733, 352.2231]"
CCCCC,CCC=O,[313.19]
CCCCC,CC(C)=O,"[238.178, 258.162, 298.136, 397.6695, 422.5645]"
CCCCC,CCCO,[468.15]
CCCCC,COC(C)=O,"[298.1444, 298.15]"
CCCCCC,C1CCCCC1,"[308.1416, 342.174, 342.21, 342.474, 342.874, 343.074, 343.124, 343.174, 343.274, 343.474, 343.524, 343.6, 343.6739, 343.9239, 343.9739, 344.0239, 344.0739, 344.26, 344.5239, 344.8238, 345.1738, 345.2238, 345.41, 345.8737, 346.0237, 346.26, 346.3737, 346.5237, 346.7236, 346.73, 346.8236, 346.8736, 347.3736, 347.38, 347.6236, 347.8235, 347.86, 347.9235, 348.44, 348.4735, 348.5235, 348.8234, 349.0, 349.1734, 349.44, 349.5234, 349.6234, 349.8733, 350.0, 350.2733, 350.4733, 350.51, 351.1232, 351.2, 351.3232, 351.7731, 352.02, 352.1231, 352.4231, 352.6231, 352.873, 353.123, 353.473, 353.723]"
CCCCCC,c1ccccc1,"[298.1444, 303.1431, 304.3335, 304.4335, 304.7334, 304.8333, 304.9333, 305.2332, 306.0328, 306.1328, 308.132, 308.232, 313.1401, 313.6299, 313.7298, 313.8298, 314.7295, 314.9295, 315.0294, 315.3293, 316.329, 318.2285, 318.5284, 318.8283, 322.4272, 322.7271, 323.027, 323.127, 323.1371, 323.5269, 323.6269, 326.326, 326.7259, 332.0243, 332.5242, 333.124, 333.1344, 340.424, 340.524, 340.624, 340.824, 340.924, 341.724, 341.764, 341.784, 341.804, 341.824, 341.85, 341.864, 341.874, 341.884, 341.894, 341.914, 341.924, 341.934, 341.95, 341.974, 342.014, 342.024, 342.05, 342.074, 342.124, 342.134, 342.2, 342.224, 342.274, 342.3323, 342.474, 342.524, 342.5322, 342.55, 342.674, 342.774, 342.824, 342.8321, 342.85, 342.924, 342.974, 343.104, 343.124, 343.174, 343.274, 343.424, 343.432, 343.45, 343.524, 343.624, 343.7739, 344.0239, 344.0739, 344.1318, 344.25, 344.4639, 344.4739, 344.5439, 344.6239, 344.6738, 344.75, 344.8315, 345.0238, 345.1238, 345.15, 345.3238, 345.3738, 345.4238, 345.5238, 345.7237, 345.7737, 345.8237, 345.9237, 345.9737, 346.0312, 346.3237, 346.4237, 346.65, 346.7236, 346.7536, 346.9236, 347.1309, 347.2736, 347.4636, 347.6735, 348.0235, 348.55, 348.5735, 348.6235, 348.7234, 348.7304, 348.8234, 348.9234, 349.0234, 349.1234, 349.1734, 349.4234, 349.6234, 349.7233, 349.7733, 349.8233, 350.1233, 350.3233, 350.3733, 350.4233, 350.6233, 350.8232, 350.8297, 351.0232, 351.2232, 351.3732, 351.5232, 351.9231, 351.95, 352.1031, 352.2231, 352.3231, 352.4231, 352.5231, 352.55, 352.6231, 352.673, 352.923, 393.027, 393.4271, 393.8272, 394.9275, 395.7278, 396.1279, 396.8281, 399.929, 402.2297, 412.932, 413.332, 414.8323, 416.3326, 418.5331, 420.1334, 423.234, 428.136, 428.5362, 429.7366, 431.2372, 432.3377, 433.138, 436.1389, 436.9391]"
CCCCCC,CCC(C)=O,"[303.83, 303.91, 303.93, 304.08, 304.38, 304.43, 304.94, 305.4, 305.54, 306.78, 308.23, 310.48, 313.8, 317.76, 333.124, 337.38, 337.42, 337.59, 337.64, 337.95, 338.1334, 338.3, 338.54, 339.36, 339.6, 340.45, 341.97, 344.15, 347.18, 352.4]"
